episode,timestep,reward
2,300,-216.7381
5,600,-225.8413
8,900,-219.0774
11,1200,-215.1384
14,1500,-239.7502
17,1800,-199.3033
20,2100,-201.5947
23,2400,-221.6776
26,2700,-215.0128
29,3000,-239.1033
32,3300,-229.4094
35,3600,-218.718
38,3900,-205.4478
41,4200,-240.0258
44,4500,-208.4179
47,4800,-229.1384
50,5100,-217.3881
53,5400,-232.4089
56,5700,-232.7724
59,6000,-249.4772
62,6300,-229.5779
65,6600,-239.587
68,6900,-238.4449
71,7200,-217.4279
74,7500,-236.0346
77,7800,-222.4453
80,8100,-259.1289
83,8400,-221.917
86,8700,-229.3937
89,9000,-244.7275
92,9300,-247.8328
95,9600,-242.8309
98,9900,-239.2988
101,10200,-236.9639
104,10500,-238.5137
107,10800,-229.4606
110,11100,-228.8918
113,11400,-267.0383
116,11700,-235.2277
119,12000,-253.8797
122,12300,-215.0933
125,12600,-237.1864
128,12900,-244.27
131,13200,-240.723
134,13500,-230.4682
137,13800,-243.4158
140,14100,-215.8372
143,14400,-243.7328
146,14700,-216.7448
149,15000,-218.3135
152,15300,-245.8007
155,15600,-212.7568
158,15900,-224.1999
161,16200,-243.7138
164,16500,-259.1087
167,16800,-258.1931
170,17100,-229.0835
173,17400,-230.3934
176,17700,-244.8913
179,18000,-222.2092
182,18300,-229.8176
185,18600,-240.4133
188,18900,-239.1575
191,19200,-249.2884
194,19500,-257.413
197,19800,-234.2955
200,20100,-230.7346
203,20400,-264.8817
206,20700,-240.9747
209,21000,-257.2562
212,21300,-253.557
215,21600,-233.0595
218,21900,-256.0274
221,22200,-257.1496
224,22500,-245.1822
227,22800,-235.0324
230,23100,-232.528
233,23400,-256.0635
236,23700,-234.6908
239,24000,-237.2511
242,24300,-254.7647
245,24600,-219.58
248,24900,-230.7968
251,25200,-243.4142
254,25500,-225.7454
257,25800,-267.1459
260,26100,-254.7476
263,26400,-236.5777
266,26700,-250.4829
269,27000,-254.2529
272,27300,-248.8014
275,27600,-240.9333
278,27900,-248.5208
281,28200,-248.676
284,28500,-228.8678
287,28800,-240.4334
290,29100,-253.7344
293,29400,-255.5165
296,29700,-248.3283
299,30000,-263.2534
302,30300,-234.8859
305,30600,-241.6965
308,30900,-259.2412
311,31200,-228.6521
314,31500,-239.6876
317,31800,-240.654
320,32100,-257.5766
323,32400,-250.0993
326,32700,-262.7364
329,33000,-247.2202
332,33300,-246.9842
335,33600,-254.2687
338,33900,-256.483
341,34200,-265.7007
344,34500,-259.8951
347,34800,-280.8528
350,35100,-262.1469
353,35400,-233.0635
356,35700,-262.8689
359,36000,-228.4552
362,36300,-267.3601
365,36600,-230.9909
368,36900,-243.8442
371,37200,-249.4853
374,37500,-264.8178
377,37800,-265.6566
380,38100,-276.7843
383,38400,-256.0344
386,38700,-263.8371
389,39000,-270.2852
392,39300,-272.9387
395,39600,-285.0246
398,39900,-270.7195
401,40200,-259.4567
404,40500,-268.7312
407,40800,-260.904
410,41100,-256.389
413,41400,-263.8624
416,41700,-250.8063
419,42000,-246.2137
422,42300,-266.9985
425,42600,-257.7587
428,42900,-233.7111
431,43200,-272.0043
434,43500,-276.6264
437,43800,-275.5553
440,44100,-316.3052
443,44400,-291.814
446,44700,-269.4461
449,45000,-256.0323
452,45300,-263.7096
455,45600,-251.6409
458,45900,-295.9721
461,46200,-296.2826
464,46500,-304.1799
467,46800,-262.2241
470,47100,-261.6671
473,47400,-259.9807
476,47700,-268.6065
479,48000,-280.1139
482,48300,-276.8916
485,48600,-282.7388
488,48900,-257.4375
491,49200,-255.8802
494,49500,-287.6622
497,49800,-252.4942
500,50100,-248.9925
503,50400,-272.0639
506,50700,-269.2983
509,51000,-265.4099
512,51300,-264.4721
515,51600,-267.3951
518,51900,-278.5237
521,52200,-260.2224
524,52500,-294.1044
527,52800,-284.0063
530,53100,-275.3874
533,53400,-274.8339
536,53700,-280.7913
539,54000,-296.3221
542,54300,-299.816
545,54600,-331.5565
548,54900,-302.5084
551,55200,-285.7564
554,55500,-284.4937
557,55800,-276.6953
560,56100,-276.3254
563,56400,-291.5435
566,56700,-281.3721
569,57000,-282.3731
572,57300,-282.745
575,57600,-257.6873
578,57900,-258.682
581,58200,-264.4928
584,58500,-291.2072
587,58800,-281.5705
590,59100,-319.3534
593,59400,-301.1044
596,59700,-283.3559
599,60000,-295.1575
602,60300,-285.5276
605,60600,-295.1138
608,60900,-276.5201
611,61200,-287.3568
614,61500,-303.0378
617,61800,-266.2811
620,62100,-291.5789
623,62400,-295.8811
626,62700,-264.2383
629,63000,-336.8728
632,63300,-340.5756
635,63600,-324.1534
638,63900,-350.4981
641,64200,-292.9379
644,64500,-326.5644
647,64800,-293.7412
650,65100,-280.7149
653,65400,-287.8062
656,65700,-280.9153
659,66000,-269.7836
662,66300,-269.2555
665,66600,-288.2542
668,66900,-270.4909
671,67200,-290.7755
674,67500,-289.1277
677,67800,-288.6311
680,68100,-289.3373
683,68400,-277.2963
686,68700,-284.4743
689,69000,-298.4919
692,69300,-296.4087
695,69600,-280.4349
698,69900,-295.9536
701,70200,-267.4735
704,70500,-284.3432
707,70800,-282.4295
710,71100,-263.9168
713,71400,-297.2198
716,71700,-282.4339
719,72000,-283.7255
722,72300,-282.4535
725,72600,-293.7741
728,72900,-278.7061
731,73200,-292.4694
734,73500,-282.169
737,73800,-296.7624
740,74100,-302.442
743,74400,-306.2747
746,74700,-297.7873
749,75000,-300.0912
752,75300,-287.0057
755,75600,-314.4129
758,75900,-302.2558
761,76200,-281.7774
764,76500,-299.1142
767,76800,-295.1335
770,77100,-304.58
773,77400,-305.8197
776,77700,-297.4575
779,78000,-305.0234
782,78300,-299.18
785,78600,-315.2482
788,78900,-291.3885
791,79200,-311.2094
794,79500,-308.8721
797,79800,-283.1527
800,80100,-303.8357
803,80400,-303.4357
806,80700,-318.3805
809,81000,-311.2068
812,81300,-298.2054
815,81600,-309.0199
