episode,timestep,reward
2,300,-224.9336
5,600,-222.3274
8,900,-221.5975
11,1200,-211.9143
14,1500,-218.3395
17,1800,-210.0827
20,2100,-200.4649
23,2400,-216.5264
26,2700,-210.3681
29,3000,-228.6121
32,3300,-202.6288
35,3600,-240.9512
38,3900,-206.145
41,4200,-220.8865
44,4500,-219.7964
47,4800,-227.7387
50,5100,-241.0366
53,5400,-215.0447
56,5700,-196.1222
59,6000,-234.3488
62,6300,-245.925
65,6600,-229.181
68,6900,-207.1931
71,7200,-220.9175
74,7500,-227.1523
77,7800,-250.4111
80,8100,-217.2476
83,8400,-214.6587
86,8700,-242.8409
89,9000,-231.2683
92,9300,-226.3547
95,9600,-220.4294
98,9900,-215.2049
101,10200,-234.81
104,10500,-245.1763
107,10800,-244.9529
110,11100,-245.2601
113,11400,-216.3686
116,11700,-246.3006
119,12000,-205.6244
122,12300,-232.8728
125,12600,-265.7517
128,12900,-217.6561
131,13200,-223.3501
134,13500,-197.3341
137,13800,-220.5564
140,14100,-185.0427
143,14400,-196.3458
146,14700,-217.6476
149,15000,-200.0643
152,15300,-203.3318
155,15600,-225.0324
158,15900,-230.624
161,16200,-221.3163
164,16500,-199.7736
167,16800,-207.841
170,17100,-227.7365
173,17400,-191.1204
176,17700,-195.9675
179,18000,-196.0875
182,18300,-213.3205
185,18600,-216.019
188,18900,-185.2266
191,19200,-214.2203
194,19500,-209.4855
197,19800,-213.8752
200,20100,-227.408
203,20400,-210.1594
206,20700,-212.7865
209,21000,-227.9163
212,21300,-213.6582
215,21600,-198.9417
218,21900,-211.5144
221,22200,-212.9462
224,22500,-208.3273
227,22800,-216.5206
230,23100,-209.8666
233,23400,-201.6837
236,23700,-210.2344
239,24000,-236.3252
242,24300,-199.0012
245,24600,-200.6222
248,24900,-219.8685
251,25200,-220.2335
254,25500,-207.4987
257,25800,-218.1232
260,26100,-188.6523
263,26400,-197.0259
266,26700,-207.5072
269,27000,-200.4736
272,27300,-205.1653
275,27600,-211.0404
278,27900,-209.7736
281,28200,-194.9006
284,28500,-184.9022
287,28800,-186.347
290,29100,-194.7579
293,29400,-186.4357
296,29700,-194.9788
299,30000,-178.2146
302,30300,-203.8307
305,30600,-195.9345
308,30900,-192.92
311,31200,-224.1929
314,31500,-205.8897
317,31800,-193.2879
320,32100,-173.6676
323,32400,-202.6916
326,32700,-190.2882
329,33000,-199.5256
332,33300,-211.7392
335,33600,-213.1764
338,33900,-219.1663
