episode,timestep,reward
1,101,-213.5511
2,202,-217.6419
3,303,-227.9744
4,404,-211.5288
5,505,-219.8983
6,606,-203.9204
7,707,-223.6263
8,808,-225.7757
9,909,-247.0348
10,1010,-235.3908
11,1111,-213.7339
12,1212,-264.8156
13,1313,-195.3694
14,1414,-232.0363
15,1515,-219.6033
16,1616,-177.7497
17,1717,-214.0754
18,1818,-199.7273
19,1919,-228.7476
20,2020,-226.5888
21,2121,-199.491
22,2222,-148.7413
23,2323,-206.5625
24,2424,-186.9825
25,2525,-185.3174
26,2626,-190.0724
27,2727,-205.0171
28,2828,-224.0266
29,2929,-196.2323
30,3030,-232.8491
31,3131,-169.958
32,3232,-208.5929
33,3333,-196.1163
34,3434,-182.8136
35,3535,-203.6151
36,3636,-197.6923
37,3737,-214.6702
38,3838,-199.7317
39,3939,-217.0422
40,4040,-201.1544
41,4141,-178.1987
42,4242,-228.2435
43,4343,-179.1345
44,4444,-178.558
45,4545,-189.3691
46,4646,-233.934
47,4747,-210.8066
48,4848,-205.6914
49,4949,-209.156
50,5050,-203.3714
51,5151,-212.4319
52,5252,-201.8494
53,5353,-223.2653
54,5454,-205.2209
55,5555,-227.9349
56,5656,-223.8613
57,5757,-204.7643
58,5858,-203.67
59,5959,-247.7602
60,6060,-171.394
61,6161,-227.1245
62,6262,-161.75
63,6363,-231.3952
64,6464,-215.0886
65,6565,-218.9365
66,6666,-196.9946
67,6767,-203.6324
68,6868,-188.594
69,6969,-207.9113
70,7070,-224.4311
71,7171,-187.8813
72,7272,-177.5526
73,7373,-202.6051
74,7474,-205.1259
75,7575,-202.1791
76,7676,-207.3298
77,7777,-195.1784
78,7878,-209.71
79,7979,-215.4738
80,8080,-204.6017
81,8181,-172.184
82,8282,-200.5594
83,8383,-199.0482
84,8484,-154.5464
85,8585,-210.752
86,8686,-231.6861
87,8787,-204.6033
88,8888,-215.3141
89,8989,-201.9749
90,9090,-214.3492
91,9191,-216.3283
92,9292,-164.9175
93,9393,-156.9543
94,9494,-187.7578
95,9595,-239.1884
96,9696,-230.7716
97,9797,-212.4734
98,9898,-224.7954
99,9999,-156.4361
100,10100,-210.4178
102,10201,-204.1383
103,10302,-205.1623
104,10403,-171.5196
105,10504,-192.9555
106,10605,-236.7782
107,10706,-165.8338
108,10807,-191.397
109,10908,-148.9353
110,11009,-216.4421
111,11110,-177.9421
112,11211,-220.5776
113,11312,-202.0006
114,11413,-234.1719
115,11514,-188.9189
116,11615,-198.2868
117,11716,-211.8838
118,11817,-201.0563
119,11918,-169.9301
