episode,timestep,reward
1,101,-212.0911
2,202,-220.6879
3,303,-234.0515
4,404,-210.2725
5,505,-209.3246
6,606,-201.1293
7,707,-216.5864
8,808,-219.0404
9,909,-240.7028
10,1010,-228.8176
11,1111,-208.4637
12,1212,-266.6422
13,1313,-183.5346
14,1414,-221.6868
15,1515,-224.2866
16,1616,-186.5303
17,1717,-221.9227
18,1818,-212.9571
19,1919,-227.3796
20,2020,-226.4329
21,2121,-195.3577
22,2222,-145.5727
23,2323,-201.3401
24,2424,-195.3413
25,2525,-200.6097
26,2626,-202.0828
27,2727,-197.7664
28,2828,-230.8884
29,2929,-204.3287
30,3030,-216.9197
31,3131,-169.4696
32,3232,-212.5073
33,3333,-207.8831
34,3434,-174.7975
35,3535,-189.98
36,3636,-237.5676
37,3737,-241.0095
38,3838,-215.9535
39,3939,-221.0143
40,4040,-229.3131
41,4141,-207.2097
42,4242,-244.5051
43,4343,-204.0654
44,4444,-188.3518
45,4545,-196.3616
46,4646,-226.8089
47,4747,-203.7943
48,4848,-199.2581
49,4949,-224.5628
50,5050,-200.7676
51,5151,-218.759
52,5252,-203.6274
53,5353,-212.532
54,5454,-201.2511
55,5555,-215.3462
56,5656,-236.221
57,5757,-213.3322
58,5858,-244.3587
59,5959,-244.2275
60,6060,-174.8742
61,6161,-233.3815
62,6262,-181.4552
63,6363,-254.7983
64,6464,-227.0103
65,6565,-202.061
66,6666,-206.2812
67,6767,-177.9315
68,6868,-207.1341
69,6969,-230.8653
70,7070,-245.3182
71,7171,-216.0951
72,7272,-176.0208
73,7373,-218.8441
74,7474,-187.6183
75,7575,-198.3598
76,7676,-190.9233
77,7777,-210.907
78,7878,-223.9316
79,7979,-230.8977
80,8080,-237.1478
81,8181,-189.882
82,8282,-238.0693
83,8383,-222.2339
84,8484,-192.9888
85,8585,-222.5514
86,8686,-249.9217
87,8787,-219.4092
88,8888,-223.87
89,8989,-221.654
90,9090,-253.3382
91,9191,-270.8741
92,9292,-192.091
93,9393,-172.7351
94,9494,-186.2918
95,9595,-223.3768
96,9696,-191.042
97,9797,-209.1758
98,9898,-197.6452
99,9999,-160.4952
100,10100,-220.3473
102,10201,-190.2462
103,10302,-200.2109
104,10403,-158.2922
105,10504,-216.355
106,10605,-202.8148
107,10706,-161.5137
108,10807,-224.5373
