episode,timestep,reward
1,101,-207.4246
2,202,-224.6636
3,303,-237.2015
4,404,-218.8541
5,505,-211.816
6,606,-214.7426
7,707,-206.8775
8,808,-221.6994
9,909,-241.1972
10,1010,-239.0905
11,1111,-209.5249
12,1212,-274.5191
13,1313,-186.0329
14,1414,-252.3617
15,1515,-212.7256
16,1616,-185.1578
17,1717,-215.8134
18,1818,-203.2429
19,1919,-232.0041
20,2020,-235.0107
21,2121,-201.0542
22,2222,-152.6286
23,2323,-230.3172
24,2424,-203.7994
25,2525,-205.9243
26,2626,-202.034
27,2727,-194.4914
28,2828,-235.8358
29,2929,-205.7633
30,3030,-225.443
31,3131,-175.9184
32,3232,-208.5558
33,3333,-199.5961
34,3434,-193.5409
35,3535,-197.9134
36,3636,-222.3488
37,3737,-237.1964
38,3838,-215.8419
39,3939,-217.2658
40,4040,-180.6705
41,4141,-212.0242
42,4242,-223.0451
43,4343,-217.2056
44,4444,-214.077
45,4545,-211.3748
46,4646,-226.5065
47,4747,-207.1781
48,4848,-200.0971
49,4949,-214.9661
50,5050,-179.2668
51,5151,-203.9248
52,5252,-216.6616
53,5353,-190.7681
54,5454,-210.499
55,5555,-209.7056
56,5656,-249.1662
57,5757,-237.8498
58,5858,-201.2304
59,5959,-246.1258
60,6060,-194.5895
61,6161,-182.2578
62,6262,-198.4243
63,6363,-222.762
64,6464,-219.6527
65,6565,-198.2969
66,6666,-240.4855
67,6767,-183.3182
68,6868,-216.5352
69,6969,-173.8471
70,7070,-215.1579
71,7171,-217.1579
72,7272,-141.2228
73,7373,-216.2108
74,7474,-169.0934
75,7575,-206.8225
76,7676,-184.6137
77,7777,-202.1291
78,7878,-199.3702
79,7979,-188.3125
80,8080,-196.813
81,8181,-171.4283
82,8282,-242.2965
83,8383,-190.1401
84,8484,-198.6933
85,8585,-213.8973
86,8686,-220.4559
87,8787,-256.8665
88,8888,-228.3723
89,8989,-201.8756
90,9090,-216.7793
91,9191,-253.7129
92,9292,-151.9835
93,9393,-145.3868
94,9494,-185.2388
95,9595,-213.2581
96,9696,-216.0631
97,9797,-218.7301
98,9898,-194.6527
99,9999,-172.7159
