episode,timestep,reward
1,101,-210.8101
2,202,-217.2105
3,303,-240.8834
4,404,-219.2808
5,505,-209.6435
6,606,-213.4069
7,707,-212.5833
8,808,-224.2797
9,909,-246.69
10,1010,-229.5842
11,1111,-208.6448
12,1212,-270.496
13,1313,-189.8127
14,1414,-245.6465
15,1515,-205.6578
16,1616,-188.8994
17,1717,-227.0945
18,1818,-195.0054
19,1919,-232.6253
20,2020,-242.4208
21,2121,-204.0181
22,2222,-149.7384
23,2323,-228.9386
24,2424,-188.0761
25,2525,-189.2808
26,2626,-196.9034
27,2727,-191.5283
28,2828,-228.2033
29,2929,-201.2972
30,3030,-244.8777
31,3131,-166.3297
32,3232,-208.3048
33,3333,-196.6667
34,3434,-196.3198
35,3535,-193.2421
36,3636,-219.6153
37,3737,-248.3042
38,3838,-224.4808
39,3939,-214.7436
40,4040,-203.2166
41,4141,-193.5687
42,4242,-242.1708
43,4343,-220.3142
44,4444,-205.0797
45,4545,-189.0914
46,4646,-233.7975
47,4747,-202.0356
48,4848,-207.5314
49,4949,-210.692
50,5050,-196.9701
51,5151,-209.6294
52,5252,-196.6286
53,5353,-224.1035
54,5454,-195.4295
55,5555,-189.1732
56,5656,-216.3228
57,5757,-203.1396
58,5858,-217.2569
59,5959,-262.2205
60,6060,-176.244
61,6161,-224.5217
62,6262,-185.7354
63,6363,-255.1958
64,6464,-243.071
65,6565,-186.7051
66,6666,-216.5816
67,6767,-192.7469
68,6868,-197.9599
69,6969,-202.707
70,7070,-220.7376
71,7171,-214.3573
72,7272,-169.7101
73,7373,-220.5623
74,7474,-174.5119
75,7575,-198.0688
76,7676,-201.0501
77,7777,-215.1588
78,7878,-208.8582
79,7979,-188.3027
80,8080,-184.3087
81,8181,-192.7135
82,8282,-232.9842
83,8383,-203.2995
84,8484,-193.8369
85,8585,-236.6614
86,8686,-217.9699
87,8787,-216.4419
88,8888,-200.3577
89,8989,-209.422
90,9090,-196.4808
91,9191,-242.0984
92,9292,-185.7871
93,9393,-173.8968
94,9494,-201.2788
95,9595,-204.7823
96,9696,-201.0577
97,9797,-206.9452
98,9898,-207.564
99,9999,-176.4236
100,10100,-244.1794
102,10201,-242.1341
103,10302,-186.4351
104,10403,-244.8777
105,10504,-201.5456
106,10605,-215.3257
107,10706,-194.6228
108,10807,-156.362
109,10908,-214.0911
110,11009,-202.2202
111,11110,-193.2841
112,11211,-209.3811
113,11312,-245.3228
114,11413,-231.7688
115,11514,-232.1676
116,11615,-230.2686
117,11716,-190.5808
118,11817,-190.0365
119,11918,-205.6791
120,12019,-204.2265
121,12120,-178.0214
122,12221,-173.4689
123,12322,-231.4943
124,12423,-199.9413
125,12524,-205.0838
126,12625,-237.6375
127,12726,-212.7092
128,12827,-188.5226
129,12928,-198.7116
130,13029,-185.5143
131,13130,-205.1741
132,13231,-203.5217
133,13332,-198.0059
134,13433,-208.9541
135,13534,-204.7091
136,13635,-243.8288
