episode,timestep,reward
1,101,-199.3657
2,202,-218.6126
3,303,-235.2399
4,404,-214.0095
5,505,-204.5463
6,606,-208.6718
7,707,-204.5282
8,808,-223.5898
9,909,-250.2639
10,1010,-234.1231
11,1111,-205.5011
12,1212,-249.5613
13,1313,-187.2512
14,1414,-213.4162
15,1515,-217.9492
16,1616,-166.7669
17,1717,-222.0161
18,1818,-197.2141
19,1919,-226.1497
20,2020,-244.7241
21,2121,-172.9218
22,2222,-149.0752
23,2323,-205.7327
24,2424,-180.3375
25,2525,-194.4787
26,2626,-205.7425
27,2727,-194.187
28,2828,-232.6023
29,2929,-170.938
30,3030,-201.1226
31,3131,-179.4284
32,3232,-189.1057
33,3333,-188.8338
34,3434,-185.4098
35,3535,-194.9757
36,3636,-260.7079
37,3737,-197.7508
38,3838,-185.2096
39,3939,-177.2269
40,4040,-208.0155
41,4141,-178.1399
42,4242,-178.2289
43,4343,-215.2001
44,4444,-198.963
45,4545,-148.6352
46,4646,-207.9961
47,4747,-206.917
48,4848,-180.8757
49,4949,-226.5151
50,5050,-192.3351
51,5151,-222.9656
52,5252,-215.7845
53,5353,-228.0453
54,5454,-213.5093
55,5555,-173.4721
56,5656,-187.8235
57,5757,-188.9142
58,5858,-221.1783
59,5959,-227.2036
60,6060,-190.2305
61,6161,-221.8875
62,6262,-213.0113
63,6363,-214.7514
64,6464,-201.8325
65,6565,-234.7532
66,6666,-218.8618
67,6767,-185.7241
68,6868,-174.8063
69,6969,-236.5336
70,7070,-196.653
71,7171,-228.5754
72,7272,-168.6743
73,7373,-221.2176
74,7474,-238.3592
75,7575,-202.7897
76,7676,-185.6604
77,7777,-178.4232
78,7878,-189.097
79,7979,-202.1836
80,8080,-189.0743
81,8181,-173.44
82,8282,-206.3219
83,8383,-171.8434
84,8484,-168.8978
85,8585,-188.1843
86,8686,-230.5482
87,8787,-204.3653
88,8888,-230.5995
89,8989,-177.1143
90,9090,-225.9515
91,9191,-186.0004
92,9292,-160.6571
93,9393,-150.0167
94,9494,-151.4985
95,9595,-249.2438
96,9696,-201.9296
97,9797,-213.4836
98,9898,-182.3879
99,9999,-179.7691
100,10100,-201.1123
102,10201,-215.3632
103,10302,-240.9938
104,10403,-169.9481
105,10504,-222.3697
106,10605,-272.6536
107,10706,-177.8843
108,10807,-177.9486
109,10908,-162.0443
110,11009,-203.5368
111,11110,-192.9871
112,11211,-219.2442
113,11312,-235.2523
114,11413,-234.9478
115,11514,-175.3585
116,11615,-158.2725
117,11716,-237.2327
118,11817,-155.6331
119,11918,-157.5573
120,12019,-202.708
121,12120,-176.511
122,12221,-155.9504
123,12322,-173.1352
124,12423,-226.0902
125,12524,-164.6747
126,12625,-170.2213
127,12726,-232.6035
128,12827,-190.36
129,12928,-181.8823
130,13029,-171.9673
131,13130,-172.7858
132,13231,-175.5991
133,13332,-170.1452
134,13433,-178.7693
135,13534,-233.164
136,13635,-170.9071
137,13736,-224.2271
138,13837,-181.7789
139,13938,-203.5331
140,14039,-163.8559
141,14140,-186.7396
142,14241,-169.6913
143,14342,-159.9533
144,14443,-162.4285
145,14544,-176.1601
146,14645,-195.333
147,14746,-182.7607
148,14847,-183.9063
149,14948,-210.0614
150,15049,-181.7214
151,15150,-196.276
152,15251,-185.7254
153,15352,-151.3676
154,15453,-171.7632
155,15554,-204.5241
156,15655,-177.8698
157,15756,-161.3671
158,15857,-176.3256
159,15958,-189.8314
160,16059,-163.5798
161,16160,-159.7328
162,16261,-180.74
163,16362,-164.262
164,16463,-200.1336
165,16564,-181.4323
166,16665,-156.6073
167,16766,-168.9659
168,16867,-146.5212
169,16968,-150.9628
170,17069,-174.1059
171,17170,-196.7919
172,17271,-156.585
173,17372,-198.7694
174,17473,-191.5204
175,17574,-165.2442
176,17675,-198.7343
177,17776,-187.4875
178,17877,-184.0391
179,17978,-196.79
180,18079,-192.8041
181,18180,-195.8857
182,18281,-147.8515
183,18382,-152.2588
184,18483,-194.1639
185,18584,-163.8739
186,18685,-151.1492
187,18786,-162.4054
188,18887,-148.314
189,18988,-149.2878
190,19089,-224.0027
191,19190,-181.2213
192,19291,-154.0852
193,19392,-144.2237
194,19493,-144.9253
195,19594,-182.9762
196,19695,-185.3081
197,19796,-163.672
198,19897,-191.8056
199,19998,-163.1179
200,20099,-162.992
201,20200,-163.9912
203,20301,-176.7661
204,20402,-146.871
205,20503,-151.8493
206,20604,-182.2039
207,20705,-173.5444
208,20806,-170.7508
209,20907,-133.2291
210,21008,-172.0225
211,21109,-157.147
212,21210,-137.4817
213,21311,-155.4265
214,21412,-118.9958
215,21513,-142.1807
216,21614,-178.7007
217,21715,-155.3151
218,21816,-213.056
219,21917,-151.9942
220,22018,-175.6235
221,22119,-191.2644
222,22220,-160.6547
223,22321,-143.1461
224,22422,-148.6332
225,22523,-198.0088
226,22624,-171.1189
227,22725,-159.4007
228,22826,-152.5979
229,22927,-194.9077
230,23028,-170.2451
231,23129,-164.0788
232,23230,-155.4256
233,23331,-154.1579
234,23432,-141.4307
235,23533,-190.712
236,23634,-164.8616
237,23735,-158.7945
238,23836,-163.0391
239,23937,-144.6071
240,24038,-212.367
241,24139,-206.8275
242,24240,-131.0499
243,24341,-184.9551
244,24442,-149.5478
245,24543,-152.0389
246,24644,-163.5649
247,24745,-135.5556
248,24846,-171.1626
249,24947,-142.9268
250,25048,-202.8679
251,25149,-151.3365
252,25250,-160.4546
253,25351,-133.8838
254,25452,-182.1336
255,25553,-169.7557
256,25654,-161.3875
257,25755,-175.1183
258,25856,-160.4168
259,25957,-142.9044
260,26058,-115.6964
261,26159,-152.8225
262,26260,-135.0492
263,26361,-158.7556
264,26462,-131.1059
265,26563,-221.3166
266,26664,-169.094
267,26765,-171.769
268,26866,-157.9728
269,26967,-150.5136
270,27068,-161.6992
271,27169,-159.88
272,27270,-143.1493
273,27371,-152.6626
274,27472,-174.264
275,27573,-164.6326
276,27674,-178.0008
277,27775,-113.7245
278,27876,-125.5776
279,27977,-142.2687
280,28078,-169.8787
281,28179,-109.5018
282,28280,-143.4141
283,28381,-176.1709
284,28482,-163.6556
285,28583,-186.0942
286,28684,-116.4225
287,28785,-110.5356
288,28886,-123.3052
289,28987,-160.5406
290,29088,-152.4024
291,29189,-151.5392
292,29290,-156.3986
293,29391,-127.6032
294,29492,-135.5523
295,29593,-144.4774
296,29694,-117.2864
297,29795,-130.2013
298,29896,-190.4298
299,29997,-137.3607
300,30098,-157.7638
301,30199,-153.7604
302,30300,-136.1393
304,30401,-176.5406
305,30502,-166.33
306,30603,-168.023
307,30704,-132.8185
308,30805,-156.8169
309,30906,-161.8857
310,31007,-141.8393
311,31108,-160.5527
312,31209,-121.8998
313,31310,-164.0653
314,31411,-134.5582
315,31512,-133.506
316,31613,-126.0892
317,31714,-135.0544
318,31815,-109.8442
319,31916,-103.3128
320,32017,-141.6938
